DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
5.357	27.5391	51.20081921310741
5.458	27.4531	51.20081921310741
5.56	27.5781	51.20081921310741
5.66	27.5391	51.20081921310741
5.762	27.5391	51.20081921310741
5.863	27.5	51.20081921310741
5.964	27.5156	51.20081921310741
6.065	27.5547	51.20081921310741
6.166	27.5391	51.20081921310741
6.267	27.5313	51.20081921310741
6.369	27.5859	51.20081921310741
6.469	27.5859	51.20081921310741
6.571	27.5625	51.20081921310741
6.672	27.6016	51.20081921310741
6.773	27.5859	51.20081921310741
6.874	27.5	51.20081921310741
6.975	27.5	51.20081921310741
7.076	27.5547	51.20081921310741
7.178	27.5859	51.20081921310741
7.278	27.625	51.20081921310741
7.38	27.625	51.20081921310741
7.481	27.6484	51.20081921310741
7.582	27.6484	51.20081921310741
7.683	27.6406	51.20081921310741
7.784	27.5391	51.20081921310741
7.885	27.625	51.20081921310741
7.987	27.6484	51.20081921310741
8.087	27.6953	51.20081921310741
8.188	27.6953	51.20081921310741
8.29	27.75	51.20081921310741
8.391	27.6406	51.20081921310741
8.492	27.6797	51.20081921310741
8.593	27.75	51.20081921310741
8.694	27.7422	51.20081921310741
8.796	27.7188	51.20081921310741
8.896	27.7266	51.20081921310741
8.997	27.7188	51.20081921310741
9.099	27.75	51.20081921310741
9.2	27.6953	51.20081921310741
9.301	27.6719	51.20081921310741
9.402	27.8125	51.20081921310741
9.503	27.8047	51.20081921310741
9.605	27.7266	51.20081921310741
9.705	27.8125	51.20081921310741
9.806	27.8359	51.20081921310741
9.908	27.8594	51.20081921310741
10.009	27.8594	51.20081921310741
10.11	27.8516	51.20081921310741
10.211	27.8125	51.20081921310741
10.312	27.8047	51.20081921310741
10.414	27.8281	51.20081921310741
10.515	27.9375	51.20081921310741
10.615	27.9375	51.20081921310741
10.717	27.9609	51.20081921310741
10.818	27.9688	51.20081921310741
10.919	27.9688	51.20081921310741
11.021	27.9375	51.20081921310741
11.121	27.9688	51.20081921310741
11.223	28.0547	51.20081921310741
11.324	28.0234	51.20081921310741
11.425	28.1172	51.20081921310741
11.526	28.0781	51.20081921310741
11.627	28.0547	51.20081921310741
11.728	28.0938	51.20081921310741
11.83	28.1406	51.20081921310741
11.931	28.1328	51.20081921310741
12.032	28.1563	51.20081921310741
12.133	28.2031	51.20081921310741
12.234	28.1875	51.20081921310741
12.336	28.2109	51.20081921310741
12.437	28.25	51.20081921310741
12.537	28.2656	51.20081921310741
12.639	28.2344	51.20081921310741
12.74	28.25	51.20081921310741
12.842	28.3203	51.20081921310741
12.943	28.2969	51.20081921310741
13.043	28.3594	51.20081921310741
13.145	28.3594	51.20081921310741
13.246	28.4063	51.20081921310741
13.347	28.3828	51.20081921310741
13.449	28.4766	51.20081921310741
13.549	28.3672	51.20081921310741
13.65	28.4297	51.20081921310741
13.752	28.4766	51.20081921310741
13.853	28.4922	51.20081921310741
13.955	28.4922	51.20081921310741
14.055	28.4688	51.20081921310741
14.156	28.5391	51.20081921310741
14.258	28.5859	51.20081921310741
14.359	28.6016	51.20081921310741
14.459	28.6484	51.20081921310741
14.561	28.6016	51.20081921310741
14.662	28.625	51.20081921310741
14.764	28.6719	51.20081921310741
14.865	28.6563	51.20081921310741
14.965	28.6563	51.20081921310741
15.067	28.7578	51.20081921310741
15.168	28.7344	51.20081921310741
15.269	28.7813	51.20081921310741
15.371	28.7656	51.20081921310741
15.471	28.8281	51.20081921310741
15.573	28.875	51.20081921310741
15.674	28.9453	51.20081921310741
15.775	28.8906	51.20081921310741
15.877	28.8984	51.20081921310741
15.977	28.9688	51.20081921310741
16.078	28.9844	51.20081921310741
16.18	28.9844	51.20081921310741
16.281	28.9844	51.20081921310741
16.383	28.9844	51.20081921310741
16.483	29.0938	51.20081921310741
16.584	29.0781	51.20081921310741
16.686	29.1563	51.20081921310741
16.787	29.1797	51.20081921310741
16.888	29.1406	51.20081921310741
16.989	29.125	51.20081921310741
17.09	29.1563	51.20081921310741
17.191	29.2734	51.20081921310741
17.293	29.1797	51.20081921310741
17.394	29.2578	51.20081921310741
17.495	29.2578	51.20081921310741
17.596	29.2813	51.20081921310741
17.697	29.3828	51.20081921310741
17.799	29.4297	51.20081921310741
17.899	29.3906	51.20081921310741
18.0	29.4141	51.20081921310741
18.102	29.3906	51.20081921310741
18.203	29.4063	51.20081921310741
18.305	29.3828	51.20081921310741
18.405	29.4297	51.20081921310741
18.506	29.5	51.20081921310741
18.608	29.625	51.20081921310741
18.709	29.6484	51.20081921310741
18.81	29.5859	51.20081921310741
18.911	29.5859	51.20081921310741
19.012	29.6563	51.20081921310741
19.114	29.625	51.20081921310741
19.215	29.6484	51.20081921310741
19.316	29.7422	51.20081921310741
19.417	29.7031	51.20081921310741
19.518	29.7813	51.20081921310741
19.619	29.8125	51.20081921310741
19.721	29.8359	51.20081921310741
19.822	29.8281	51.20081921310741
19.922	29.9141	51.20081921310741
20.024	29.8984	51.20081921310741
20.125	29.8984	51.20081921310741
20.227	29.9141	51.20081921310741
20.328	29.9688	51.20081921310741
20.428	29.9844	51.20081921310741
20.53	30.0156	51.20081921310741
20.631	30.0625	51.20081921310741
20.732	30.0938	51.20081921310741
20.834	30.0625	51.20081921310741
20.934	30.0313	51.20081921310741
21.036	30.1484	51.20081921310741
21.137	30.1016	51.20081921310741
21.238	30.2188	51.20081921310741
21.339	30.1875	51.20081921310741
21.44	30.2188	51.20081921310741
21.541	30.2734	51.20081921310741
21.643	30.2813	51.20081921310741
21.744	30.3203	51.20081921310741
21.845	30.3438	51.20081921310741
21.946	30.4297	51.20081921310741
22.047	30.3906	51.20081921310741
22.149	30.4297	51.20081921310741
22.25	30.3672	51.20081921310741
22.35	30.4063	51.20081921310741
22.452	30.4766	51.20081921310741
22.553	30.375	51.20081921310741
22.655	30.4766	51.20081921310741
22.756	30.5625	51.20081921310741
22.856	30.5	51.20081921310741
22.958	30.5625	51.20081921310741
23.059	30.5703	51.20081921310741
23.16	30.6563	51.20081921310741
23.261	30.6406	51.20081921310741
23.362	30.6797	51.20081921310741
23.463	30.6172	51.20081921310741
23.565	30.75	51.20081921310741
23.666	30.7656	51.20081921310741
23.767	30.8125	51.20081921310741
23.868	30.8438	51.20081921310741
23.969	30.8359	51.20081921310741
24.071	30.8203	51.20081921310741
24.172	30.8125	51.20081921310741
24.272	30.9063	51.20081921310741
24.374	30.8828	51.20081921310741
24.475	30.9531	51.20081921310741
24.577	31.0156	51.20081921310741
24.678	31.0625	51.20081921310741
24.778	31.0156	51.20081921310741
24.88	30.9922	51.20081921310741
24.981	31.0156	51.20081921310741
25.082	31.1094	51.20081921310741
25.183	31.1953	51.20081921310741
25.284	31.1875	51.20081921310741
25.386	31.1953	51.20081921310741
25.487	31.2109	51.20081921310741
25.588	31.1953	51.20081921310741
25.689	31.2656	51.20081921310741
25.79	31.2656	51.20081921310741
25.891	31.3047	51.20081921310741
25.993	31.3516	51.20081921310741
26.094	31.4141	51.20081921310741
26.194	31.3047	51.20081921310741
26.296	31.3125	51.20081921310741
26.397	31.3984	51.20081921310741
26.499	31.4219	51.20081921310741
26.6	31.5313	51.20081921310741
26.7	31.5469	51.20081921310741
26.802	31.4922	51.20081921310741
26.903	31.4609	51.20081921310741
27.004	31.5547	51.20081921310741
27.105	31.6172	51.20081921310741
27.206	31.6406	51.20081921310741
27.308	31.6641	51.20081921310741
27.409	31.7266	51.20081921310741
27.51	31.7109	51.20081921310741
27.611	31.75	51.20081921310741
27.712	31.7813	51.20081921310741
27.813	31.7969	51.20081921310741
27.915	31.7344	51.20081921310741
28.016	31.8281	51.20081921310741
28.117	31.8281	51.20081921310741
28.218	31.7969	51.20081921310741
28.319	31.8828	51.20081921310741
28.421	31.9297	51.20081921310741
28.522	31.9531	51.20081921310741
28.622	31.9063	51.20081921310741
28.724	31.9766	51.20081921310741
28.825	31.9844	51.20081921310741
28.927	32.0234	51.20081921310741
29.028	32.0313	51.20081921310741
29.128	32.0313	51.20081921310741
29.23	32.0625	51.20081921310741
29.331	32.0938	51.20081921310741
29.432	32.2031	51.20081921310741
29.533	32.1875	51.20081921310741
29.634	32.2188	51.20081921310741
29.735	32.1797	51.20081921310741
29.837	32.1875	51.20081921310741
29.938	32.25	51.20081921310741
30.039	32.3125	51.20081921310741
30.14	32.2969	51.20081921310741
30.241	32.3594	51.20081921310741
30.343	32.375	51.20081921310741
30.444	32.3984	51.20081921310741
30.544	32.3594	51.20081921310741
30.646	32.4688	51.20081921310741
30.747	32.5156	51.20081921310741
30.849	32.5313	51.20081921310741
30.95	32.5	51.20081921310741
31.05	32.5156	51.20081921310741
31.152	32.6094	51.20081921310741
31.253	32.6094	51.20081921310741
31.354	32.6563	51.20081921310741
31.455	32.7031	51.20081921310741
31.556	32.6797	51.20081921310741
31.658	32.7188	51.20081921310741
31.759	32.6953	51.20081921310741
31.86	32.6797	51.20081921310741
31.961	32.7188	51.20081921310741
32.062	32.7813	51.20081921310741
32.163	32.8281	51.20081921310741
32.265	32.8594	51.20081921310741
32.366	32.8984	51.20081921310741
32.466	32.875	51.20081921310741
32.568	32.9453	51.20081921310741
32.669	32.9453	51.20081921310741
32.771	32.9141	51.20081921310741
32.872	33.0078	51.20081921310741
32.972	33.0547	51.20081921310741
33.074	33.0313	51.20081921310741
33.175	33.0547	51.20081921310741
33.276	33.0391	51.20081921310741
33.378	33.0938	51.20081921310741
33.478	33.0938	51.20081921310741
33.58	33.1875	51.20081921310741
33.681	33.1875	51.20081921310741
33.782	33.1875	51.20081921310741
33.883	33.2969	51.20081921310741
33.984	33.3281	51.20081921310741
34.085	33.2813	51.20081921310741
34.187	33.25	51.20081921310741
34.288	33.3438	51.20081921310741
34.389	33.3203	51.20081921310741
34.49	33.4141	51.20081921310741
34.591	33.3672	51.20081921310741
34.693	33.4141	51.20081921310741
34.794	33.4531	51.20081921310741
34.894	33.5234	51.20081921310741
34.996	33.5	51.20081921310741
35.097	33.5313	51.20081921310741
35.199	33.6016	51.20081921310741
35.299	33.6172	51.20081921310741
35.4	33.5781	51.20081921310741
35.502	33.6016	51.20081921310741
35.603	33.6172	51.20081921310741
35.704	33.6641	51.20081921310741
35.805	33.6797	51.20081921310741
35.906	33.6797	51.20081921310741
36.007	33.6641	51.20081921310741
36.109	33.8359	51.20081921310741
36.21	33.8359	51.20081921310741
36.311	33.7578	51.20081921310741
36.412	33.9063	51.20081921310741
36.513	33.8359	51.20081921310741
36.615	33.8906	51.20081921310741
36.716	33.8828	51.20081921310741
36.816	33.8594	51.20081921310741
36.918	33.9609	51.20081921310741
37.019	33.9609	51.20081921310741
37.121	34.0	51.20081921310741
