DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
116.787	24.75	12.800204803276852
116.887	24.8359	12.800204803276852
116.988	24.8906	12.800204803276852
117.09	24.8281	12.800204803276852
117.191	24.875	12.800204803276852
117.292	24.8906	12.800204803276852
117.393	24.875	12.800204803276852
117.494	24.8906	12.800204803276852
117.596	24.8359	12.800204803276852
117.697	24.8594	12.800204803276852
117.797	24.8594	12.800204803276852
117.899	24.875	12.800204803276852
118.0	24.9063	12.800204803276852
118.102	24.9063	12.800204803276852
118.203	24.9375	12.800204803276852
118.303	24.9297	12.800204803276852
118.405	24.8594	12.800204803276852
118.506	24.9063	12.800204803276852
118.607	24.9063	12.800204803276852
118.708	24.9141	12.800204803276852
118.809	24.9297	12.800204803276852
118.911	24.9375	12.800204803276852
119.012	24.8906	12.800204803276852
119.113	24.8594	12.800204803276852
119.214	24.8828	12.800204803276852
119.315	24.9141	12.800204803276852
119.416	24.9141	12.800204803276852
119.518	24.9141	12.800204803276852
119.619	24.9141	12.800204803276852
119.719	24.9141	12.800204803276852
119.821	24.8906	12.800204803276852
119.922	24.9141	12.800204803276852
120.024	25.0156	12.800204803276852
120.124	24.9141	12.800204803276852
120.225	24.875	12.800204803276852
120.327	24.9688	12.800204803276852
120.428	24.9688	12.800204803276852
120.529	24.9922	12.800204803276852
120.63	24.9531	12.800204803276852
120.731	24.9766	12.800204803276852
120.833	24.9688	12.800204803276852
120.934	24.9766	12.800204803276852
121.035	24.9766	12.800204803276852
121.136	25.0156	12.800204803276852
121.237	25.0234	12.800204803276852
121.338	25.0781	12.800204803276852
121.44	24.9922	12.800204803276852
121.541	25.0234	12.800204803276852
121.642	24.9531	12.800204803276852
121.743	25.0625	12.800204803276852
121.844	25.0859	12.800204803276852
121.946	25.0781	12.800204803276852
122.046	25.0391	12.800204803276852
122.147	24.9922	12.800204803276852
122.249	25.0859	12.800204803276852
122.35	25.0469	12.800204803276852
122.452	25.0469	12.800204803276852
122.552	25.0859	12.800204803276852
122.653	25.1484	12.800204803276852
122.755	25.0859	12.800204803276852
122.856	25.125	12.800204803276852
122.956	25.1563	12.800204803276852
123.058	25.1719	12.800204803276852
123.159	25.1094	12.800204803276852
123.26	25.1016	12.800204803276852
123.362	25.1094	12.800204803276852
123.462	25.1094	12.800204803276852
123.564	25.1719	12.800204803276852
123.665	25.1328	12.800204803276852
123.766	25.1563	12.800204803276852
123.868	25.125	12.800204803276852
123.968	25.1484	12.800204803276852
124.069	25.1875	12.800204803276852
124.171	25.2109	12.800204803276852
124.272	25.1875	12.800204803276852
124.373	25.1719	12.800204803276852
124.474	25.0625	12.800204803276852
124.575	25.1875	12.800204803276852
124.677	25.1953	12.800204803276852
124.778	25.2734	12.800204803276852
124.878	25.2109	12.800204803276852
124.98	25.2422	12.800204803276852
125.081	25.2344	12.800204803276852
125.183	25.2188	12.800204803276852
125.283	25.2813	12.800204803276852
125.384	25.2969	12.800204803276852
125.486	25.2578	12.800204803276852
125.587	25.2578	12.800204803276852
125.688	25.2813	12.800204803276852
125.789	25.2422	12.800204803276852
125.89	25.2578	12.800204803276852
125.991	25.3281	12.800204803276852
126.093	25.3047	12.800204803276852
126.194	25.3047	12.800204803276852
126.295	25.3047	12.800204803276852
126.396	25.2969	12.800204803276852
126.497	25.2813	12.800204803276852
126.599	25.3047	12.800204803276852
126.699	25.2578	12.800204803276852
126.8	25.2813	12.800204803276852
126.902	25.3047	12.800204803276852
127.003	25.3203	12.800204803276852
127.105	25.3203	12.800204803276852
127.205	25.3203	12.800204803276852
127.306	25.3672	12.800204803276852
127.408	25.3438	12.800204803276852
127.509	25.3672	12.800204803276852
127.61	25.3906	12.800204803276852
127.711	25.3516	12.800204803276852
127.812	25.2969	12.800204803276852
127.914	25.3672	12.800204803276852
128.015	25.3516	12.800204803276852
128.115	25.3672	12.800204803276852
128.217	25.3828	12.800204803276852
128.318	25.4141	12.800204803276852
128.419	25.4609	12.800204803276852
128.521	25.4766	12.800204803276852
128.621	25.5	12.800204803276852
128.722	25.5	12.800204803276852
128.824	25.5156	12.800204803276852
128.925	25.5	12.800204803276852
129.027	25.4531	12.800204803276852
129.127	25.4531	12.800204803276852
129.228	25.5156	12.800204803276852
129.33	25.4609	12.800204803276852
129.431	25.5625	12.800204803276852
129.531	25.4922	12.800204803276852
129.633	25.4609	12.800204803276852
129.734	25.5469	12.800204803276852
129.836	25.5	12.800204803276852
129.937	25.5625	12.800204803276852
130.037	25.4609	12.800204803276852
130.139	25.5	12.800204803276852
130.24	25.6094	12.800204803276852
130.341	25.4766	12.800204803276852
130.442	25.5625	12.800204803276852
130.543	25.6016	12.800204803276852
130.645	25.5469	12.800204803276852
130.746	25.5859	12.800204803276852
130.847	25.6641	12.800204803276852
130.948	25.6328	12.800204803276852
131.049	25.6016	12.800204803276852
131.15	25.5703	12.800204803276852
131.252	25.6641	12.800204803276852
131.353	25.6016	12.800204803276852
131.454	25.5859	12.800204803276852
131.555	25.6406	12.800204803276852
131.656	25.6016	12.800204803276852
131.758	25.5859	12.800204803276852
131.858	25.6094	12.800204803276852
131.959	25.6875	12.800204803276852
132.061	25.6875	12.800204803276852
132.162	25.7031	12.800204803276852
132.263	25.6641	12.800204803276852
132.364	25.6094	12.800204803276852
132.465	25.7109	12.800204803276852
132.567	25.7266	12.800204803276852
132.668	25.7266	12.800204803276852
132.769	25.6406	12.800204803276852
132.87	25.6641	12.800204803276852
132.971	25.6797	12.800204803276852
133.072	25.7734	12.800204803276852
133.174	25.7109	12.800204803276852
133.274	25.7266	12.800204803276852
133.376	25.8281	12.800204803276852
133.477	25.7266	12.800204803276852
133.578	25.7969	12.800204803276852
133.68	25.7656	12.800204803276852
133.78	25.7891	12.800204803276852
133.881	25.7969	12.800204803276852
133.983	25.8359	12.800204803276852
134.084	25.8281	12.800204803276852
134.186	25.7656	12.800204803276852
134.286	25.8281	12.800204803276852
