DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
27.511	97.7813	51.20081921310741
27.613	97.7109	51.20081921310741
27.713	97.8594	51.20081921310741
27.814	97.8125	51.20081921310741
27.916	97.7344	51.20081921310741
28.017	97.7813	51.20081921310741
28.119	97.7422	51.20081921310741
28.219	97.7813	51.20081921310741
28.32	97.6875	51.20081921310741
28.422	97.7109	51.20081921310741
28.523	97.6875	51.20081921310741
28.624	97.7109	51.20081921310741
28.725	97.7109	51.20081921310741
28.826	97.6719	51.20081921310741
28.928	97.625	51.20081921310741
29.029	97.625	51.20081921310741
29.13	97.6016	51.20081921310741
29.231	97.5156	51.20081921310741
29.332	97.6406	51.20081921310741
29.433	97.5391	51.20081921310741
29.535	97.5078	51.20081921310741
29.635	97.5156	51.20081921310741
29.737	97.5078	51.20081921310741
29.838	97.5078	51.20081921310741
29.939	97.5156	51.20081921310741
30.041	97.4609	51.20081921310741
30.141	97.5156	51.20081921310741
30.242	97.5313	51.20081921310741
30.344	97.4375	51.20081921310741
30.445	97.4688	51.20081921310741
30.546	97.4219	51.20081921310741
30.647	97.4219	51.20081921310741
30.748	97.4219	51.20081921310741
30.85	97.4141	51.20081921310741
30.951	97.375	51.20081921310741
31.052	97.3984	51.20081921310741
31.153	97.3672	51.20081921310741
31.254	97.375	51.20081921310741
31.355	97.3203	51.20081921310741
31.457	97.375	51.20081921310741
31.558	97.375	51.20081921310741
31.659	97.2734	51.20081921310741
31.76	97.2813	51.20081921310741
31.861	97.2578	51.20081921310741
31.963	97.25	51.20081921310741
32.064	97.2031	51.20081921310741
32.164	97.2031	51.20081921310741
32.266	97.2734	51.20081921310741
32.367	97.1797	51.20081921310741
32.469	97.125	51.20081921310741
32.57	97.1875	51.20081921310741
32.67	97.1406	51.20081921310741
32.772	97.2031	51.20081921310741
32.873	97.1563	51.20081921310741
32.974	97.1641	51.20081921310741
33.075	97.1641	51.20081921310741
33.176	97.1563	51.20081921310741
33.278	97.1172	51.20081921310741
33.379	97.1172	51.20081921310741
33.48	97.0078	51.20081921310741
33.581	97.0703	51.20081921310741
33.682	97.0078	51.20081921310741
33.783	97.0547	51.20081921310741
33.885	97.0234	51.20081921310741
33.986	97.0234	51.20081921310741
34.086	97.0234	51.20081921310741
34.188	96.9297	51.20081921310741
34.289	96.9766	51.20081921310741
34.391	96.9531	51.20081921310741
34.492	96.9375	51.20081921310741
34.592	97.0078	51.20081921310741
34.694	97.0078	51.20081921310741
34.795	96.9766	51.20081921310741
34.896	96.9375	51.20081921310741
34.998	96.8672	51.20081921310741
35.098	96.8828	51.20081921310741
