DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time	Temperature	Power
0.605	26.4063	25.600409606553704
0.706	26.375	25.600409606553704
0.806	26.3906	25.600409606553704
0.908	26.4375	25.600409606553704
1.009	26.4297	25.600409606553704
1.111	26.3438	25.600409606553704
1.211	26.3672	25.600409606553704
1.312	26.4141	25.600409606553704
1.414	26.4141	25.600409606553704
1.515	26.3906	25.600409606553704
1.615	26.4063	25.600409606553704
1.717	26.4063	25.600409606553704
1.818	26.4609	25.600409606553704
1.92	26.4844	25.600409606553704
2.02	26.4297	25.600409606553704
2.121	26.4063	25.600409606553704
2.223	26.3672	25.600409606553704
2.324	26.4063	25.600409606553704
2.424	26.4297	25.600409606553704
2.526	26.3906	25.600409606553704
2.627	26.4141	25.600409606553704
2.729	26.375	25.600409606553704
2.829	26.3438	25.600409606553704
2.93	26.4766	25.600409606553704
3.032	26.4375	25.600409606553704
3.133	26.4297	25.600409606553704
3.233	26.4063	25.600409606553704
3.335	26.3516	25.600409606553704
3.436	26.4063	25.600409606553704
3.537	26.3906	25.600409606553704
3.638	26.3125	25.600409606553704
3.739	26.3359	25.600409606553704
3.841	26.4297	25.600409606553704
3.942	26.3359	25.600409606553704
4.042	26.3359	25.600409606553704
4.144	26.4141	25.600409606553704
4.245	26.3672	25.600409606553704
4.346	26.4766	25.600409606553704
4.447	26.5	25.600409606553704
4.548	26.4297	25.600409606553704
4.65	26.3906	25.600409606553704
4.751	26.3438	25.600409606553704
4.851	26.3672	25.600409606553704
4.953	26.4297	25.600409606553704
5.054	26.3672	25.600409606553704
5.155	26.4844	25.600409606553704
5.256	26.4141	25.600409606553704
5.357	26.4063	25.600409606553704
5.458	26.4297	25.600409606553704
5.56	26.3906	25.600409606553704
5.66	26.3438	25.600409606553704
5.762	26.4297	25.600409606553704
5.863	26.3359	25.600409606553704
5.964	26.4141	25.600409606553704
6.065	26.3906	25.600409606553704
6.166	26.4297	25.600409606553704
6.267	26.4297	25.600409606553704
6.369	26.4063	25.600409606553704
6.469	26.4375	25.600409606553704
6.571	26.3516	25.600409606553704
6.672	26.4063	25.600409606553704
6.773	26.4063	25.600409606553704
6.874	26.3906	25.600409606553704
6.975	26.4297	25.600409606553704
7.076	26.4063	25.600409606553704
7.178	26.4063	25.600409606553704
7.278	26.3359	25.600409606553704
7.38	26.3672	25.600409606553704
7.481	26.4063	25.600409606553704
7.581	26.3906	25.600409606553704
7.683	26.3516	25.600409606553704
7.784	26.4063	25.600409606553704
7.885	26.4141	25.600409606553704
7.986	26.4141	25.600409606553704
8.087	26.3359	25.600409606553704
8.188	26.3672	25.600409606553704
8.29	26.3672	25.600409606553704
8.39	26.4375	25.600409606553704
8.492	26.375	25.600409606553704
8.593	26.3438	25.600409606553704
8.694	26.375	25.600409606553704
8.795	26.4063	25.600409606553704
8.896	26.4063	25.600409606553704
8.997	26.4844	25.600409606553704
9.099	26.3906	25.600409606553704
9.199	26.4063	25.600409606553704
9.301	26.4375	25.600409606553704
9.402	26.3672	25.600409606553704
9.503	26.3438	25.600409606553704
9.604	26.3672	25.600409606553704
9.705	26.375	25.600409606553704
9.806	26.375	25.600409606553704
9.908	26.4297	25.600409606553704
10.008	26.4531	25.600409606553704
10.11	26.3203	25.600409606553704
10.211	26.2891	25.600409606553704
10.312	26.2969	25.600409606553704
10.414	26.375	25.600409606553704
10.514	26.4063	25.600409606553704
10.615	26.4063	25.600409606553704
10.717	26.4297	25.600409606553704
10.818	26.3672	25.600409606553704
10.919	26.4766	25.600409606553704
11.02	26.3906	25.600409606553704
11.121	26.3672	25.600409606553704
11.223	26.375	25.600409606553704
11.324	26.3906	25.600409606553704
