DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time'\nylabels = ( 'Temperature', 'Power' )\n"
self.number_history	0
self.text_log_note	'Note'

Time	Temperature	Power
1848.015	96.8594	25.600409606553704
1848.117	96.9063	25.600409606553704
1848.218	96.9531	25.600409606553704
1848.32	96.9297	25.600409606553704
1848.421	96.9063	25.600409606553704
1848.522	96.9375	25.600409606553704
1848.624	96.9531	25.600409606553704
1848.725	96.9844	25.600409606553704
1848.825	96.9063	25.600409606553704
1848.927	96.9297	25.600409606553704
1849.028	96.9297	25.600409606553704
1849.13	96.8672	25.600409606553704
1849.231	96.9063	25.600409606553704
1849.332	96.9063	25.600409606553704
1849.434	96.8594	25.600409606553704
1849.535	96.9297	25.600409606553704
1849.636	96.9531	25.600409606553704
1849.737	97.0313	25.600409606553704
1849.838	96.9609	25.600409606553704
1849.94	96.9844	25.600409606553704
1850.041	96.9297	25.600409606553704
1850.142	96.8906	25.600409606553704
1850.244	96.8906	25.600409606553704
1850.345	96.9531	25.600409606553704
1850.446	96.9766	25.600409606553704
1850.548	96.9297	25.600409606553704
1850.648	96.9063	25.600409606553704
1850.75	96.9141	25.600409606553704
1850.851	96.9375	25.600409606553704
1850.952	96.9375	25.600409606553704
1851.054	96.9609	25.600409606553704
1851.155	96.9531	25.600409606553704
1851.256	96.9297	25.600409606553704
1851.358	96.9844	25.600409606553704
1851.459	96.9531	25.600409606553704
1851.559	97.0	25.600409606553704
1851.661	97.0313	25.600409606553704
1851.762	97.0078	25.600409606553704
1851.864	96.9844	25.600409606553704
1851.965	96.9844	25.600409606553704
1852.066	96.9063	25.600409606553704
1852.168	96.9609	25.600409606553704
1852.269	96.9609	25.600409606553704
1852.369	96.9609	25.600409606553704
1852.471	96.9844	25.600409606553704
1852.572	96.9844	25.600409606553704
1852.674	96.9609	25.600409606553704
1852.775	96.9766	25.600409606553704
1852.876	96.9531	25.600409606553704
1852.978	96.9531	25.600409606553704
1853.079	96.9141	25.600409606553704
1853.18	96.9766	25.600409606553704
1853.281	96.9375	25.600409606553704
1853.382	96.9063	25.600409606553704
1853.484	96.9531	25.600409606553704
1853.585	97.0234	25.600409606553704
1853.686	96.9844	25.600409606553704
1853.788	96.9844	25.600409606553704
1853.889	97.0078	25.600409606553704
1853.99	96.9609	25.600409606553704
1854.092	96.9141	25.600409606553704
1854.192	96.9063	25.600409606553704
1854.294	96.9844	25.600409606553704
1854.395	96.9609	25.600409606553704
1854.496	96.9531	25.600409606553704
1854.598	96.9766	25.600409606553704
1854.699	96.9609	25.600409606553704
1854.8	97.0313	25.600409606553704
1854.902	97.0469	25.600409606553704
1855.002	96.9844	25.600409606553704
1855.104	96.9531	25.600409606553704
1855.205	96.9375	25.600409606553704
1855.306	97.0078	25.600409606553704
1855.408	96.9844	25.600409606553704
1855.509	97.0313	25.600409606553704
1855.61	97.0703	25.600409606553704
1855.712	97.0234	25.600409606553704
1855.813	97.0547	25.600409606553704
1855.914	96.9766	25.600409606553704
1856.015	96.9766	25.600409606553704
1856.116	96.9609	25.600409606553704
1856.218	96.9844	25.600409606553704
1856.319	97.0	25.600409606553704
1856.42	97.0	25.600409606553704
1856.522	97.0234	25.600409606553704
1856.623	97.0469	25.600409606553704
1856.724	97.0313	25.600409606553704
1856.825	96.9609	25.600409606553704
1856.926	97.0313	25.600409606553704
1857.028	97.0	25.600409606553704
1857.129	96.9844	25.600409606553704
1857.23	96.9844	25.600409606553704
1857.332	97.0703	25.600409606553704
1857.433	97.0313	25.600409606553704
1857.535	97.0078	25.600409606553704
1857.635	97.0234	25.600409606553704
1857.736	97.0313	25.600409606553704
1857.838	97.0234	25.600409606553704
1857.939	97.0313	25.600409606553704
1858.04	96.9609	25.600409606553704
1858.142	96.9531	25.600409606553704
1858.243	97.0234	25.600409606553704
1858.345	97.0078	25.600409606553704
1858.445	97.0313	25.600409606553704
1858.546	97.0234	25.600409606553704
1858.648	97.0313	25.600409606553704
1858.749	96.9609	25.600409606553704
1858.85	96.9531	25.600409606553704
1858.952	97.0	25.600409606553704
1859.053	96.9844	25.600409606553704
1859.154	97.0703	25.600409606553704
1859.256	97.0547	25.600409606553704
1859.356	96.9844	25.600409606553704
1859.458	97.0469	25.600409606553704
1859.559	97.0547	25.600409606553704
1859.66	97.0547	25.600409606553704
1859.762	97.0469	25.600409606553704
1859.863	97.0078	25.600409606553704
1859.964	97.0313	25.600409606553704
1860.066	96.9844	25.600409606553704
1860.166	96.9766	25.600409606553704
1860.268	97.0234	25.600409606553704
1860.369	97.0547	25.600409606553704
1860.47	97.0313	25.600409606553704
1860.572	97.0078	25.600409606553704
1860.673	96.9844	25.600409606553704
1860.774	97.125	25.600409606553704
1860.876	97.0781	25.600409606553704
1860.977	97.1172	25.600409606553704
1861.078	97.1172	25.600409606553704
1861.179	97.0938	25.600409606553704
1861.28	97.0938	25.600409606553704
1861.382	97.0547	25.600409606553704
1861.483	97.0547	25.600409606553704
1861.584	97.0313	25.600409606553704
1861.686	97.0938	25.600409606553704
1861.787	97.1172	25.600409606553704
1861.888	97.0313	25.600409606553704
1861.989	97.0781	25.600409606553704
1862.09	97.0547	25.600409606553704
1862.192	97.0703	25.600409606553704
1862.293	97.0938	25.600409606553704
1862.394	97.0781	25.600409606553704
1862.496	97.0781	25.600409606553704
1862.597	97.1406	25.600409606553704
1862.699	97.0547	25.600409606553704
1862.799	97.0547	25.600409606553704
1862.9	97.1406	25.600409606553704
1863.002	97.1406	25.600409606553704
1863.103	97.1641	25.600409606553704
1863.204	97.0703	25.600409606553704
1863.306	97.0547	25.600409606553704
1863.407	97.1875	25.600409606553704
1863.509	97.0938	25.600409606553704
1863.609	97.0938	25.600409606553704
1863.71	97.0938	25.600409606553704
1863.812	97.1797	25.600409606553704
1863.913	97.1563	25.600409606553704
1864.014	97.1563	25.600409606553704
1864.116	97.1641	25.600409606553704
1864.217	97.1563	25.600409606553704
1864.319	97.1172	25.600409606553704
1864.42	97.1641	25.600409606553704
1864.52	97.1563	25.600409606553704
1864.622	97.1641	25.600409606553704
1864.723	97.1797	25.600409606553704
1864.824	97.0938	25.600409606553704
1864.926	97.0938	25.600409606553704
1865.027	97.1016	25.600409606553704
