DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	87.7734	0.0
2.935	87.7813	0.0
3.036	87.7344	0.0
3.137	87.7109	0.0
3.237	87.5938	0.0
3.339	87.5234	0.0
3.44	87.5938	0.0
3.541	87.5078	0.0
3.642	87.4375	0.0
3.742	87.4531	0.0
3.844	87.5234	0.0
3.944	87.3438	0.0
4.045	87.3125	0.0
4.147	87.2656	0.0
4.247	87.2188	0.0
4.348	87.2266	0.0
4.449	87.1797	0.0
4.55	87.1484	0.0
4.652	87.0547	0.0
4.752	87.0625	0.0
4.853	86.9844	0.0
4.954	86.875	0.0
5.055	86.8672	0.0
5.156	86.8047	0.0
5.257	86.8438	0.0
5.358	86.7578	0.0
5.458	86.7344	0.0
5.56	86.6094	0.0
5.66	86.6094	0.0
5.762	86.5391	0.0
5.863	86.5469	0.0
5.963	86.4531	0.0
6.065	86.3828	0.0
6.165	86.4063	0.0
6.266	86.3359	0.0
6.368	86.3125	0.0
6.468	86.2813	0.0
6.57	86.2109	0.0
6.67	86.1406	0.0
6.771	86.1016	0.0
6.872	86.0469	0.0
6.973	85.9609	0.0
7.074	85.9609	0.0
7.175	85.9531	0.0
7.276	85.9141	0.0
7.376	85.8594	0.0
7.478	85.8438	0.0
7.579	85.75	0.0
7.68	85.7422	0.0
7.781	85.6094	0.0
7.881	85.6094	0.0
7.983	85.5625	0.0
8.083	85.5156	0.0
8.184	85.4922	0.0
8.286	85.3984	0.0
8.386	85.4063	0.0
8.487	85.3516	0.0
8.588	85.3281	0.0
8.689	85.2578	0.0
8.791	85.1953	0.0
8.891	85.1719	0.0
8.992	85.1641	0.0
9.093	85.0703	0.0
9.194	85.0	0.0
9.294	85.0078	0.0
9.396	85.0078	0.0
9.497	84.9063	0.0
9.598	84.8203	0.0
9.699	84.75	0.0
9.799	84.7188	0.0
9.901	84.7031	0.0
10.001	84.5859	0.0
10.102	84.5859	0.0
10.204	84.5391	0.0
10.304	84.5313	0.0
10.405	84.4844	0.0
10.507	84.4141	0.0
10.607	84.3203	0.0
10.709	84.3203	0.0
10.81	84.2969	0.0
10.91	84.2578	0.0
11.012	84.1172	0.0
11.112	84.1406	0.0
11.213	84.0859	0.0
11.315	84.0703	0.0
11.415	84.0	0.0
11.516	83.9766	0.0
11.618	83.8984	0.0
11.718	83.9063	0.0
11.82	83.8047	0.0
11.92	83.7813	0.0
12.021	83.7813	0.0
12.123	83.6406	0.0
12.223	83.6016	0.0
12.324	83.6094	0.0
12.426	83.6094	0.0
12.526	83.5391	0.0
12.628	83.4688	0.0
12.728	83.4453	0.0
12.829	83.3984	0.0
12.931	83.3516	0.0
13.031	83.3281	0.0
13.132	83.2344	0.0
13.234	83.2266	0.0
13.334	83.1563	0.0
13.435	83.1406	0.0
13.536	83.1563	0.0
13.637	83.0156	0.0
13.739	82.9453	0.0
13.839	82.9531	0.0
13.94	82.9219	0.0
14.042	82.8281	0.0
14.142	82.7891	0.0
14.243	82.8125	0.0
14.344	82.7578	0.0
14.445	82.7344	0.0
14.546	82.625	0.0
14.647	82.6875	0.0
14.748	82.6953	0.0
14.85	82.5938	0.0
