DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	90.2578	0.0
2.935	90.2813	0.0
3.036	90.1797	0.0
3.137	90.1406	0.0
3.237	90.1641	0.0
3.339	90.0469	0.0
3.439	90.0391	0.0
3.541	89.9453	0.0
3.642	89.9453	0.0
3.742	89.8906	0.0
3.844	89.8906	0.0
3.944	89.75	0.0
4.045	89.7188	0.0
4.147	89.7891	0.0
4.247	89.7422	0.0
4.348	89.6484	0.0
4.449	89.5391	0.0
4.55	89.5078	0.0
4.652	89.5078	0.0
4.752	89.4922	0.0
4.853	89.3516	0.0
4.954	89.3281	0.0
5.055	89.3047	0.0
5.155	89.2578	0.0
5.257	89.1406	0.0
5.358	89.0938	0.0
5.458	89.0703	0.0
5.56	89.0469	0.0
5.66	88.9922	0.0
5.762	89.0	0.0
5.863	88.9219	0.0
5.963	88.9063	0.0
6.065	88.8125	0.0
6.165	88.7578	0.0
6.266	88.7656	0.0
6.367	88.625	0.0
6.468	88.6016	0.0
6.57	88.5234	0.0
6.67	88.5078	0.0
6.771	88.4531	0.0
6.872	88.4297	0.0
6.973	88.3594	0.0
7.074	88.3125	0.0
7.175	88.2656	0.0
7.276	88.2891	0.0
7.376	88.2266	0.0
7.478	88.1719	0.0
7.579	88.0859	0.0
7.68	88.0781	0.0
7.781	88.0156	0.0
7.881	88.0313	0.0
7.983	87.9844	0.0
8.083	87.9375	0.0
8.184	87.8281	0.0
8.286	87.8203	0.0
8.386	87.7813	0.0
8.487	87.6406	0.0
8.588	87.7266	0.0
8.689	87.6563	0.0
8.791	87.5781	0.0
8.891	87.4375	0.0
8.992	87.4375	0.0
9.093	87.4063	0.0
9.194	87.3203	0.0
9.294	87.2422	0.0
9.396	87.2422	0.0
9.497	87.1953	0.0
9.598	87.25	0.0
9.699	87.1719	0.0
9.799	87.1094	0.0
9.901	87.0156	0.0
10.002	87.0313	0.0
10.102	86.9844	0.0
10.204	86.8906	0.0
10.304	86.8984	0.0
10.405	86.8281	0.0
10.507	86.7813	0.0
10.607	86.7813	0.0
10.709	86.6563	0.0
10.81	86.6406	0.0
10.91	86.6172	0.0
11.012	86.6094	0.0
11.112	86.5391	0.0
11.213	86.5156	0.0
11.315	86.3984	0.0
11.415	86.4297	0.0
11.516	86.4219	0.0
11.618	86.2813	0.0
11.718	86.1719	0.0
11.82	86.1484	0.0
11.921	86.1406	0.0
12.021	86.0703	0.0
12.123	86.0078	0.0
12.223	86.0	0.0
12.324	86.0313	0.0
12.426	85.9766	0.0
12.526	85.8672	0.0
12.628	85.8203	0.0
12.729	85.8438	0.0
12.829	85.7422	0.0
12.931	85.5938	0.0
13.031	85.6563	0.0
13.132	85.5234	0.0
13.234	85.5391	0.0
13.334	85.4453	0.0
13.435	85.4922	0.0
13.537	85.3594	0.0
13.637	85.3359	0.0
13.739	85.2891	0.0
13.84	85.2578	0.0
13.94	85.2422	0.0
14.042	85.2578	0.0
14.142	85.1875	0.0
14.243	85.125	0.0
14.345	85.0938	0.0
14.445	85.0313	0.0
14.546	85.0234	0.0
14.648	84.9844	0.0
14.748	84.9609	0.0
14.85	84.9063	0.0
14.95	84.7656	0.0
15.051	84.7891	0.0
15.153	84.7891	0.0
15.253	84.6328	0.0
15.354	84.625	0.0
15.456	84.6328	0.0
15.556	84.5625	0.0
15.658	84.4922	0.0
15.759	84.4688	0.0
15.859	84.4453	0.0
15.961	84.3984	0.0
16.061	84.3906	0.0
16.162	84.2734	0.0
16.264	84.2969	0.0
16.364	84.2031	0.0
16.465	84.1797	0.0
16.567	84.0859	0.0
16.667	84.0469	0.0
16.769	84.0	0.0
16.869	83.9297	0.0
16.97	83.9766	0.0
17.072	83.8281	0.0
17.172	83.8828	0.0
17.273	83.8594	0.0
17.375	83.6953	0.0
17.475	83.7578	0.0
17.577	83.7344	0.0
17.677	83.6484	0.0
17.778	83.6641	0.0
17.88	83.5313	0.0
17.98	83.5156	0.0
18.081	83.4688	0.0
18.183	83.4375	0.0
18.283	83.3906	0.0
18.384	83.3672	0.0
18.486	83.3281	0.0
18.586	83.2578	0.0
18.688	83.2969	0.0
18.788	83.2109	0.0
18.889	83.2031	0.0
18.991	83.1641	0.0
19.091	83.0625	0.0
19.192	83.0	0.0
19.293	82.8828	0.0
19.394	82.8828	0.0
19.495	82.8828	0.0
19.596	82.8359	0.0
19.697	82.7813	0.0
19.799	82.7422	0.0
19.899	82.7891	0.0
20.0	82.6953	0.0
20.102	82.5938	0.0
20.202	82.5469	0.0
20.303	82.5703	0.0
20.404	82.5	0.0
20.505	82.5	0.0
20.607	82.3828	0.0
20.707	82.3203	0.0
20.808	82.2891	0.0
20.91	82.25	0.0
21.01	82.2266	0.0
