DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	96.7188	0.0
2.935	96.6406	0.0
3.036	96.6563	0.0
3.137	96.6406	0.0
3.237	96.5859	0.0
3.339	96.4453	0.0
3.44	96.4297	0.0
3.541	96.3828	0.0
3.642	96.3828	0.0
3.742	96.3359	0.0
3.844	96.2422	0.0
3.944	96.1953	0.0
4.045	96.0313	0.0
4.147	96.0547	0.0
4.247	95.9922	0.0
4.348	95.9922	0.0
4.449	95.9453	0.0
4.55	95.9297	0.0
4.651	95.7656	0.0
4.752	95.7578	0.0
4.853	95.7344	0.0
4.954	95.7109	0.0
5.055	95.6953	0.0
5.155	95.6172	0.0
5.257	95.5313	0.0
5.357	95.4609	0.0
5.458	95.4219	0.0
5.56	95.3516	0.0
5.66	95.3203	0.0
5.762	95.2969	0.0
5.862	95.2734	0.0
5.963	95.2344	0.0
6.064	95.1406	0.0
6.165	95.0703	0.0
6.265	95.0234	0.0
6.367	95.0	0.0
6.468	94.9141	0.0
6.569	94.8828	0.0
6.67	94.8438	0.0
6.77	94.7969	0.0
6.872	94.8203	0.0
6.972	94.7266	0.0
7.073	94.6406	0.0
7.175	94.6172	0.0
7.275	94.5703	0.0
7.376	94.5156	0.0
7.477	94.4766	0.0
7.578	94.4297	0.0
7.679	94.4453	0.0
7.78	94.375	0.0
7.881	94.2188	0.0
7.982	94.2422	0.0
8.083	94.1797	0.0
8.183	94.1719	0.0
8.285	94.1016	0.0
8.385	93.9922	0.0
8.486	93.9453	0.0
8.587	93.9453	0.0
8.688	93.8984	0.0
8.79	93.7656	0.0
8.89	93.7422	0.0
8.991	93.7656	0.0
9.092	93.7109	0.0
9.193	93.6406	0.0
9.293	93.5547	0.0
9.395	93.5078	0.0
9.496	93.5078	0.0
9.596	93.3906	0.0
9.698	93.3984	0.0
9.798	93.3516	0.0
9.9	93.375	0.0
10.0	93.2578	0.0
10.101	93.1406	0.0
10.203	93.1563	0.0
10.303	93.1094	0.0
10.404	93.0703	0.0
10.505	93.0234	0.0
10.606	92.9609	0.0
10.708	92.8438	0.0
10.808	92.8203	0.0
10.909	92.7969	0.0
11.011	92.7422	0.0
11.111	92.7422	0.0
11.212	92.6719	0.0
11.313	92.6563	0.0
11.414	92.6563	0.0
11.515	92.4922	0.0
11.616	92.5234	0.0
11.717	92.4922	0.0
11.818	92.4297	0.0
11.919	92.375	0.0
12.02	92.3047	0.0
12.121	92.2344	0.0
12.222	92.1875	0.0
12.322	92.125	0.0
12.424	92.0859	0.0
12.525	92.0547	0.0
12.625	92.0547	0.0
12.727	91.9922	0.0
12.827	91.8984	0.0
12.929	91.8906	0.0
13.03	91.7813	0.0
13.13	91.7734	0.0
13.232	91.6953	0.0
13.333	91.7344	0.0
13.433	91.7031	0.0
13.535	91.6094	0.0
13.635	91.5625	0.0
13.737	91.5234	0.0
13.838	91.4766	0.0
13.938	91.4063	0.0
14.04	91.3125	0.0
14.14	91.3828	0.0
14.241	91.3125	0.0
