DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	98.7266	0.0
2.935	98.6328	0.0
3.036	98.6328	0.0
3.137	98.5156	0.0
3.237	98.5391	0.0
3.339	98.4219	0.0
3.44	98.4297	0.0
3.541	98.3594	0.0
3.642	98.3594	0.0
3.742	98.2969	0.0
3.844	98.2656	0.0
3.944	98.1328	0.0
4.045	98.125	0.0
4.147	98.0781	0.0
4.247	98.0391	0.0
4.348	97.9531	0.0
4.449	97.8125	0.0
4.55	97.8828	0.0
4.652	97.7813	0.0
4.752	97.6953	0.0
4.853	97.7109	0.0
4.954	97.6484	0.0
5.055	97.6016	0.0
5.156	97.5156	0.0
5.257	97.4609	0.0
5.358	97.4453	0.0
5.458	97.3516	0.0
5.56	97.2266	0.0
5.661	97.2109	0.0
5.762	97.2344	0.0
5.863	97.1641	0.0
5.963	97.0938	0.0
6.065	96.9766	0.0
6.165	96.9609	0.0
6.266	96.9531	0.0
6.368	96.8828	0.0
6.468	96.7656	0.0
6.57	96.7266	0.0
6.67	96.6875	0.0
6.771	96.6563	0.0
6.873	96.5938	0.0
6.973	96.5625	0.0
7.074	96.4297	0.0
7.175	96.4453	0.0
7.276	96.4063	0.0
7.377	96.25	0.0
7.478	96.1953	0.0
7.579	96.2266	0.0
7.68	96.2031	0.0
7.781	96.2031	0.0
7.881	96.0156	0.0
7.983	95.9766	0.0
8.084	95.9219	0.0
8.184	95.8828	0.0
8.286	95.8594	0.0
8.386	95.7422	0.0
8.487	95.7656	0.0
8.589	95.6484	0.0
8.689	95.6641	0.0
8.791	95.5547	0.0
8.891	95.5313	0.0
8.992	95.5313	0.0
9.093	95.4609	0.0
9.194	95.3672	0.0
9.295	95.3516	0.0
9.396	95.3281	0.0
9.497	95.25	0.0
9.598	95.2031	0.0
9.699	95.0781	0.0
9.8	95.0234	0.0
9.901	94.9531	0.0
10.002	94.9531	0.0
10.102	94.8359	0.0
10.204	94.8203	0.0
10.305	94.6797	0.0
10.405	94.6875	0.0
10.507	94.6875	0.0
10.608	94.5625	0.0
10.709	94.5703	0.0
10.81	94.5469	0.0
10.91	94.5	0.0
11.012	94.4531	0.0
11.113	94.4219	0.0
11.213	94.3516	0.0
11.315	94.2031	0.0
11.416	94.2422	0.0
11.516	94.1719	0.0
11.618	94.125	0.0
11.718	94.0156	0.0
11.82	93.9688	0.0
11.921	93.9219	0.0
12.021	93.9219	0.0
12.123	93.8984	0.0
12.224	93.8281	0.0
12.324	93.8125	0.0
12.426	93.6172	0.0
12.527	93.5938	0.0
12.628	93.6172	0.0
12.729	93.5938	0.0
12.829	93.4219	0.0
12.931	93.5313	0.0
13.032	93.4531	0.0
13.132	93.3047	0.0
13.234	93.3203	0.0
13.335	93.25	0.0
13.435	93.1875	0.0
13.537	93.0625	0.0
13.637	93.1094	0.0
13.739	93.0391	0.0
13.84	93.0156	0.0
13.94	92.9531	0.0
14.042	92.9297	0.0
14.143	92.7656	0.0
14.243	92.7734	0.0
14.345	92.75	0.0
14.445	92.6484	0.0
14.546	92.6563	0.0
14.648	92.6484	0.0
14.748	92.5859	0.0
14.85	92.5	0.0
14.951	92.4297	0.0
15.051	92.4063	0.0
15.153	92.2813	0.0
15.253	92.3281	0.0
15.354	92.2656	0.0
15.456	92.2656	0.0
15.556	92.2344	0.0
15.658	92.1406	0.0
15.759	92.0781	0.0
15.859	92.0156	0.0
15.961	91.9453	0.0
16.062	91.9375	0.0
16.162	91.8672	0.0
16.264	91.8438	0.0
16.364	91.8203	0.0
16.465	91.6172	0.0
16.567	91.7266	0.0
16.667	91.7031	0.0
16.769	91.6172	0.0
16.87	91.4688	0.0
