DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	85.1953	0.0
2.935	85.2578	0.0
3.036	85.1953	0.0
3.137	85.1875	0.0
3.237	85.0703	0.0
3.339	85.0234	0.0
3.44	85.0078	0.0
3.541	84.9609	0.0
3.642	84.9297	0.0
3.742	84.8828	0.0
3.844	84.8359	0.0
3.944	84.7266	0.0
4.045	84.7656	0.0
4.147	84.75	0.0
4.247	84.7656	0.0
4.348	84.7266	0.0
4.449	84.7266	0.0
4.55	84.6953	0.0
4.651	84.6016	0.0
4.752	84.5625	0.0
4.853	84.4688	0.0
4.954	84.4844	0.0
5.055	84.4688	0.0
5.155	84.4375	0.0
5.257	84.3203	0.0
5.357	84.2813	0.0
5.458	84.2266	0.0
5.559	84.2578	0.0
5.66	84.2734	0.0
5.762	84.2109	0.0
5.862	84.1797	0.0
5.963	84.0938	0.0
6.064	84.0156	0.0
6.165	83.9766	0.0
6.265	83.9688	0.0
6.367	83.9453	0.0
6.468	83.8594	0.0
6.569	83.875	0.0
6.67	83.8828	0.0
6.77	83.8047	0.0
6.872	83.7188	0.0
6.972	83.6719	0.0
7.073	83.5625	0.0
7.175	83.6484	0.0
7.275	83.5781	0.0
7.376	83.5078	0.0
7.477	83.5625	0.0
7.578	83.4609	0.0
7.679	83.5156	0.0
7.78	83.4219	0.0
7.881	83.3672	0.0
7.982	83.3438	0.0
8.083	83.2266	0.0
8.183	83.2031	0.0
8.285	83.1797	0.0
8.385	83.2031	0.0
8.486	83.1094	0.0
8.587	83.1328	0.0
8.688	83.0703	0.0
8.79	83.0	0.0
8.89	82.9688	0.0
8.991	82.8984	0.0
9.092	82.8828	0.0
9.193	82.8047	0.0
9.293	82.8047	0.0
9.395	82.7578	0.0
9.496	82.7578	0.0
9.596	82.7109	0.0
9.698	82.6016	0.0
9.798	82.5781	0.0
9.9	82.5547	0.0
10.0	82.5547	0.0
10.101	82.5469	0.0
10.203	82.4063	0.0
10.303	82.3828	0.0
10.404	82.3125	0.0
10.505	82.2656	0.0
10.606	82.2969	0.0
10.708	82.25	0.0
10.808	82.2188	0.0
10.909	82.1484	0.0
11.01	82.1563	0.0
11.111	82.125	0.0
11.212	81.9922	0.0
11.313	82.0078	0.0
11.414	82.0156	0.0
11.514	81.8906	0.0
11.616	81.875	0.0
11.717	81.7578	0.0
11.818	81.7578	0.0
11.919	81.8047	0.0
12.02	81.7734	0.0
12.121	81.7266	0.0
12.222	81.7109	0.0
12.322	81.6328	0.0
12.424	81.6172	0.0
12.525	81.5313	0.0
12.625	81.4766	0.0
12.727	81.4375	0.0
12.827	81.4141	0.0
12.929	81.3672	0.0
13.03	81.2656	0.0
13.13	81.2266	0.0
13.232	81.2422	0.0
13.332	81.2188	0.0
13.433	81.1953	0.0
13.535	81.0781	0.0
13.635	81.0859	0.0
