DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time(s)'\nylabels = ( 'Temperature(C)', 'Power(%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time(s)	Temperature(C)	Power(%)
2.834	93.6641	0.0
2.935	93.5703	0.0
3.036	93.6016	0.0
3.137	93.5547	0.0
3.237	93.3984	0.0
3.339	93.375	0.0
3.44	93.375	0.0
3.541	93.3438	0.0
3.642	93.2344	0.0
3.742	93.2578	0.0
3.844	93.2578	0.0
3.944	93.1328	0.0
4.045	93.1094	0.0
4.147	93.0156	0.0
4.247	93.0	0.0
4.348	92.9844	0.0
4.449	92.8359	0.0
4.55	92.8594	0.0
4.651	92.8359	0.0
4.752	92.7656	0.0
4.852	92.7422	0.0
4.954	92.5234	0.0
5.055	92.5	0.0
5.155	92.5391	0.0
5.257	92.5	0.0
5.357	92.4063	0.0
5.458	92.4219	0.0
5.559	92.3047	0.0
5.66	92.2813	0.0
5.762	92.3281	0.0
5.862	92.2109	0.0
5.963	92.1953	0.0
6.064	92.1016	0.0
6.165	92.1016	0.0
6.265	92.0391	0.0
6.367	91.9453	0.0
6.467	91.8906	0.0
6.569	91.9141	0.0
6.67	91.8203	0.0
6.77	91.7344	0.0
6.872	91.7109	0.0
6.972	91.6797	0.0
7.073	91.6172	0.0
7.174	91.5469	0.0
7.275	91.5469	0.0
7.376	91.5625	0.0
7.477	91.4297	0.0
7.578	91.4063	0.0
7.679	91.2813	0.0
7.78	91.3125	0.0
7.88	91.3281	0.0
7.982	91.1719	0.0
8.083	91.1016	0.0
8.183	91.0547	0.0
8.285	91.0938	0.0
8.385	90.9844	0.0
8.486	90.9141	0.0
8.587	90.7969	0.0
8.688	90.75	0.0
8.789	90.7656	0.0
8.89	90.7734	0.0
8.991	90.5859	0.0
9.092	90.5781	0.0
9.193	90.5859	0.0
9.293	90.5313	0.0
9.395	90.4609	0.0
9.495	90.3984	0.0
9.596	90.375	0.0
9.698	90.375	0.0
9.798	90.3281	0.0
9.9	90.2109	0.0
10.0	90.1875	0.0
10.101	90.1563	0.0
10.202	90.0859	0.0
10.303	90.0859	0.0
10.404	90.0	0.0
10.505	89.8906	0.0
10.606	89.8594	0.0
10.708	89.7969	0.0
10.808	89.7656	0.0
10.909	89.6953	0.0
11.01	89.6797	0.0
11.111	89.6953	0.0
11.212	89.6016	0.0
11.313	89.5156	0.0
11.414	89.4219	0.0
11.514	89.4453	0.0
11.616	89.4141	0.0
11.717	89.375	0.0
11.818	89.3906	0.0
11.919	89.2344	0.0
12.019	89.1797	0.0
12.121	89.1641	0.0
12.222	89.0938	0.0
12.322	89.0703	0.0
12.424	89.0156	0.0
12.525	89.0234	0.0
12.625	88.9219	0.0
12.727	88.875	0.0
12.827	88.8125	0.0
12.929	88.7813	0.0
13.03	88.6875	0.0
13.13	88.6484	0.0
13.232	88.5703	0.0
13.332	88.625	0.0
13.433	88.5469	0.0
13.535	88.4531	0.0
13.635	88.5313	0.0
13.737	88.4375	0.0
13.837	88.3828	0.0
13.938	88.3594	0.0
14.04	88.2422	0.0
14.14	88.2266	0.0
